commune_source,nom_insee,code_insee,departement,population,longitude,latitude
AGDE,Agde,34003,34,29939.0,3.4838,43.3084
ALBI,Albi,81004,81,51290.0,2.1323,43.929
ALTHEN DES PALUDS,Althen-des-Paluds,84001,84,2960.0,4.9585,44.0055
AUBAIS,Aubais,30019,30,2925.0,4.1422,43.7498
AURIAC-SUR-VENDINELLE,Auriac-sur-Vendinelle,31026,31,1087.0,1.8258,43.5172
BAHO,Baho,66012,66,3231.0,2.8229,42.7066
BALARUC LE VIEUX,Balaruc-le-Vieux,34024,34,2737.0,3.6971,43.465
BASSAN,Bassan,34025,34,2383.0,3.2563,43.4093
BEZIERS,Béziers,34032,34,81545.0,3.2342,43.3481
BIZANET,Bizanet,11040,11,1730.0,2.8704,43.1445
BUZET SUR TARN,Buzet-sur-Tarn,31094,31,2963.0,1.6099,43.7721
CABRIERES D'AVIGNON,Cabrières-d'Avignon,84025,84,1686.0,5.1494,43.9034
CADENET,Cadenet,84026,84,4363.0,5.386,43.7299
CAMARET SUR AIGUES,Camaret-sur-Aigues,84029,84,4533.0,4.8911,44.1551
CANET EN ROUSSILLON,Canet-en-Roussillon,66037,66,13227.0,3.002,42.6809
CANOHES,Canohès,66038,66,6616.0,2.8294,42.6514
CASTELGINEST,Castelginest,31116,31,11271.0,1.4349,43.698
CASTELNAU LE LEZ,Castelnau-le-Lez,34057,34,26058.0,3.9113,43.6372
CERS,Cers,34073,34,2503.0,3.3176,43.3314
CESSENON SUR ORB,Cessenon-sur-Orb,34074,34,2410.0,3.0363,43.4533
COMPS,Comps,30089,30,1688.0,4.5863,43.8489
COURNONTERRAL,Cournonterral,34088,34,7359.0,3.7072,43.5712
CUGNAUX,Cugnaux,31157,31,20662.0,1.3432,43.5446
ESPIRA DE L AGLY,Espira-de-l'Agly,66069,66,3524.0,2.8231,42.7987
ESTEZARGUES,Estézargues,30107,30,605.0,4.6369,43.956
GALARGUES,Galargues,34110,34,752.0,4.0141,43.7844
GRAGNAGUE,Gragnague,31228,31,2553.0,1.5828,43.6852
JUVIGNAC,Juvignac,34123,34,14055.0,3.7908,43.6173
LA GRANDE MOTTE,La Grande-Motte,34344,34,8440.0,4.072,43.571
LAFITTE-VIGORDANE,Lafitte-Vigordane,31261,31,1142.0,1.1597,43.3027
LANCON PROVENCE,Lançon-Provence,13051,13,9915.0,5.1725,43.5728
LATOUR BAS ELNE,Latour-Bas-Elne,66094,66,3228.0,3.0067,42.6041
LATOUR-BAS-ELNE,Latour-Bas-Elne,66094,66,3228.0,3.0067,42.6041
LATTES,Lattes,34129,34,17351.0,3.899,43.567
LE CAP D AGDE,Agde,34003,34,29939.0,3.4838,43.3084
LE FAUGA,Le Fauga,31181,31,2603.0,1.3003,43.3996
LE SOLER,Le Soler,66195,66,7942.0,2.7999,42.6756
LES SAINTES MARIES DE LA MER,Saintes-Maries-de-la-Mer,13096,13,2433.0,4.4374,43.4958
LESPIGNAN,Lespignan,34135,34,3414.0,3.1689,43.2737
LIGNAN SUR ORB,Lignan-sur-Orb,34140,34,3227.0,3.1728,43.383
MARAUSSAN,Maraussan,34148,34,4789.0,3.154,43.3733
MARSEILLAN,Marseillan,34150,34,8414.0,3.556,43.3543
MAUGUIO,Mauguio,34154,34,16522.0,4.0128,43.5915
MEZE,Mèze,34157,34,12669.0,3.5843,43.4323
MONTADY,Montady,34161,34,3990.0,3.1177,43.3277
MONTBLANC,Montblanc,34166,34,2932.0,3.3569,43.3775
MONTPELLIER,Montpellier,34172,34,310240.0,3.8742,43.61
MUDAISON,Mudaison,34176,34,3009.0,4.037,43.6406
NEOULES,Néoules,83088,83,2976.0,6.0267,43.2912
NEZIGNAN L'EVEQUE,Nézignan-l'Évêque,34182,34,1718.0,3.4052,43.4222
NIMES,Nîmes,30189,30,151839.0,4.3429,43.8322
PAULHAN,Paulhan,34194,34,4039.0,3.4599,43.5378
PERNES LES FONTAINES,Pernes-les-Fontaines,84088,84,10504.0,5.0289,43.9966
PERPIGNAN,Perpignan,66136,66,121616.0,2.9045,42.699
PERTUIS,Pertuis,84089,84,19548.0,5.5345,43.6931
PEYRESTORTES,Peyrestortes,66138,66,1927.0,2.8471,42.7484
PIA,Pia,66141,66,11615.0,2.9172,42.7506
POILHES,Poilhes,34206,34,548.0,3.0915,43.304
POMEROLS,Pomérols,34207,34,2299.0,3.5142,43.3952
PORT LEUCATE,Leucate,11202,11,4562.0,3.0232,42.9076
POUZOLS,Pouzols,34215,34,953.0,3.5083,43.6224
PUISSALICON,Puissalicon,34224,34,1353.0,3.2377,43.4552
PUISSERGUIER,Puisserguier,34225,34,3078.0,3.056,43.379
RIVESALTES,Rivesaltes,66164,66,9270.0,2.8769,42.7761
SAINT GEORGES D'ORQUES,Saint-Georges-d'Orques,34259,34,5676.0,3.775,43.6167
SAINT JEAN DE VEDAS,Saint-Jean-de-Védas,34270,34,13328.0,3.8329,43.5732
SAINTES MARIES DE LA MER,Saintes-Maries-de-la-Mer,13096,13,2433.0,4.4374,43.4958
SALEILLES,Saleilles,66189,66,5698.0,2.947,42.6553
SAUSSAN,Saussan,34295,34,2069.0,3.7829,43.5685
SAUSSINES,Saussines,34296,34,1001.0,4.05,43.7581
SAUVIAN,Sauvian,34298,34,5608.0,3.2541,43.2885
SEILH,Seilh,31541,31,3356.0,1.3574,43.692
SERIGNAN,Sérignan,34299,34,8588.0,3.3011,43.271
SERVIAN,Servian,34300,34,5517.0,3.3017,43.4121
SORGUES,Sorgues,84129,84,19006.0,4.8555,44.016
ST AUNES,Saint-Aunès,34240,34,4530.0,3.97,43.6341
THEZAN LES BEZIERS,Thézan-lès-Béziers,34310,34,3124.0,3.1593,43.4126
THUIR,Thuir,66210,66,8243.0,2.7618,42.6384
TOULOUGES,Toulouges,66213,66,7450.0,2.8234,42.6723
TOULOUSE,Toulouse,31555,31,514819.0,1.4328,43.6007
UZES,Uzès,30334,30,8519.0,4.416,44.0289
VAISON LA ROMAINE,Vaison-la-Romaine,84137,84,6058.0,5.0586,44.2395
VALFLAUNES,Valflaunès,34322,34,795.0,3.8597,43.8048
VALROS,Valros,34325,34,1685.0,3.3648,43.4193
VERGEZE,Vergèze,30344,30,5788.0,4.2332,43.7341
VIAS,Vias,34332,34,5952.0,3.3948,43.3091
VIC LA GARDIOLE,Vic-la-Gardiole,34333,34,3428.0,3.8046,43.4838
