mois,confiance_menages,source
2015-01,-13.6,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-02,-11.3,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-03,-10.8,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-04,-9.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-05,-11.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-06,-11.8,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-07,-12.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-08,-11.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-09,-10.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-10,-9.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-11,-9.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2015-12,-9.5,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-01,-8.4,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-02,-10.7,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-03,-12.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-04,-11.7,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-05,-9.5,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-06,-12.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-07,-11.7,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-08,-11.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-09,-9.6,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-10,-9.4,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-11,-7.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2016-12,-6.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-01,-7.4,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-02,-8.3,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-03,-8.4,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-04,-7.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-05,-6.6,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-06,-1.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-07,-4.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-08,-5.8,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-09,-7.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-10,-7.4,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-11,-4.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2017-12,-3.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-01,-4.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-02,-7.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-03,-6.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-04,-7.8,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-05,-8.6,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-06,-10.5,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-07,-9.8,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-08,-10.4,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-09,-13.8,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-10,-11.3,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-11,-13.6,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2018-12,-16.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-01,-12.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-02,-10.7,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-03,-9.9,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-04,-10.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-05,-8.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-06,-8.2,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-07,-6.6,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-08,-7.5,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
2019-09,-6.1,Eurostat ei_bsco_m BS-CSMCI FR (solde CVS)
