mois,taux_credit_habitat,source
2015-01,2.55,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-02,2.51,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-03,2.42,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-04,2.31,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-05,2.25,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-06,2.17,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-07,2.15,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-08,2.18,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-09,2.21,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-10,2.25,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-11,2.35,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2015-12,2.32,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-01,2.31,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-02,2.26,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-03,2.18,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-04,2.09,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-05,1.97,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-06,1.85,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-07,1.77,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-08,1.72,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-09,1.68,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-10,1.6,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-11,1.56,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2016-12,1.5,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-01,1.5,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-02,1.54,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-03,1.54,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-04,1.57,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-05,1.59,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-06,1.61,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-07,1.62,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-08,1.65,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-09,1.65,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-10,1.66,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-11,1.64,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2017-12,1.6,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-01,1.61,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-02,1.61,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-03,1.58,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-04,1.57,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-05,1.57,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-06,1.55,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-07,1.54,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-08,1.53,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-09,1.51,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-10,1.51,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-11,1.5,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2018-12,1.48,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-01,1.5,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-02,1.51,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-03,1.5,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-04,1.49,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-05,1.44,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-06,1.39,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-07,1.34,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-08,1.31,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-09,1.27,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-10,1.23,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-11,1.2,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2019-12,1.17,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-01,1.17,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-02,1.19,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-03,1.19,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-04,1.36,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-05,1.26,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-06,1.26,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-07,1.29,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-08,1.31,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-09,1.3,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-10,1.28,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-11,1.27,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2020-12,1.24,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-01,1.24,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-02,1.21,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-03,1.18,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-04,1.15,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-05,1.14,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-06,1.12,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-07,1.12,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-08,1.12,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-09,1.13,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-10,1.13,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-11,1.12,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2021-12,1.1,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-01,1.12,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-02,1.13,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-03,1.14,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-04,1.19,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-05,1.26,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-06,1.35,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-07,1.45,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-08,1.58,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-09,1.68,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-10,1.77,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-11,1.91,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2022-12,2.05,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-01,2.2,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-02,2.35,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-03,2.54,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-04,2.71,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-05,2.88,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-06,3.04,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-07,3.16,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-08,3.31,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-09,3.36,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-10,3.43,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-11,3.52,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2023-12,3.6,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-01,3.59,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-02,3.51,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-03,3.5,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-04,3.49,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-05,3.48,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-06,3.43,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-07,3.4,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-08,3.37,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-09,3.33,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-10,3.27,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-11,3.17,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2024-12,3.14,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-01,3.11,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-02,3.01,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-03,3.05,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-04,3.03,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-05,3.02,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-06,3.01,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-07,3.01,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-08,3.01,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-09,2.99,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-10,2.99,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-11,3.0,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2025-12,2.99,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2026-01,3.05,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2026-02,3.1,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2026-03,3.1,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
2026-04,3.11,BCE MIR.M.FR.B.A2C.AM.R.A.2250.EUR.N
